Latitude (decimal degrees) : 41.214248
Longitude (decimal degrees) : -3.448011
Elevation (m) : 1678.0
month,year
01,2018
02,2018
03,2018
04,2018
05,2018
06,2018
07,2018
08,2018
09,2018
10,2018
11,2018
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20180101:0000,1.8237500000000184,89.83809707961711,0.0,0.0,0.0,0.0,4.501392797390281,273.1164500268617,1032.3381
20180101:0100,1.6858799999999974,90.28266645367576,0.0,0.0,0.0,0.0,4.103268778797614,270.83886808165875,1032.8631
20180101:0200,1.3319299999999998,89.59069705622478,0.0,0.0,0.0,0.0,4.333332555993149,268.79988348613364,1033.6619
20180101:0300,1.1064700000000016,89.22828493457348,0.0,0.0,0.0,0.0,3.797052623991736,263.36902784628955,1033.8781
20180101:0400,0.9693000000000324,87.86255075692296,0.0,0.0,0.0,0.0,3.0031670835036417,252.4571328770002,1033.41125
20180101:0500,0.6976000000000226,86.19760578006715,0.0,0.0,0.0,0.0,3.232206673005688,252.280996934598,1033.555
20180101:0600,0.5029499999999985,85.53789742111732,0.0,0.0,0.0,0.0,3.122340881732516,247.8341534250277,1033.5219
20180101:0700,0.2769400000000246,85.24335608434967,2.7959,22.1227,1.9916,3.927211444737141,3.166878569352713,246.7695098784238,1033.4219
20180101:0800,0.1276200000000358,83.98221484692354,80.7989,244.302,57.1154,132.4276721638043,3.422020168219049,244.47701125854664,1033.5281
20180101:0900,1.9115000000000464,79.16015368687198,200.938,237.6519,138.2348,254.36718466256312,4.247183260887296,248.0349129846258,1033.68625
20180101:1000,3.6994000000000256,68.98783475610136,247.8476,79.6407,219.2761,262.1171938298071,5.041533726257566,258.627661245783,1033.4331
20180101:1100,4.631200000000035,69.48926014326999,164.8371,6.199,162.3329,159.03269574142686,6.90994448066462,260.3565289083033,1032.7375
20180101:1200,5.335020000000043,73.1959858429289,80.0154,0.0102,80.0109,75.999603069513,8.712556266058382,265.4898391473532,1031.6219
20180101:1300,5.578800000000001,75.11046169884213,78.0826,0.005,78.0807,74.1619799137547,8.065785436153927,259.3617943213236,1030.3956
20180101:1400,5.989340000000027,78.33594351776127,71.3087,1.1408,70.9993,68.28001303279662,7.672286490233404,256.79793121078865,1029.48625
20180101:1500,5.843680000000006,83.10437088888037,137.7523,183.5465,106.3287,213.46784763472894,7.687887401259328,255.76668907041343,1028.7994
